Time,SumValue
"12/08/2022, 07:45",2.607058048
"12/08/2022, 08:00",7.863568783
"12/08/2022, 08:15",4.598522186
"12/08/2022, 08:30",3.829630971
"12/08/2022, 08:45",5.665618062
"12/08/2022, 09:00",5.206847072
"12/08/2022, 09:15",1.947678984
"12/08/2022, 09:30",3.108029127
"12/08/2022, 09:45",6.840803086
"12/08/2022, 10:00",1.625423014
"12/08/2022, 10:15",9.160823822
"12/08/2022, 10:30",6.679304123
"12/08/2022, 10:45",4.354772091
"12/08/2022, 11:00",4.385492802
"12/08/2022, 11:15",7.283599854
"12/08/2022, 11:30",8.262187839
"12/08/2022, 11:45",8.544079542
"12/08/2022, 12:00",2.764261961
"12/08/2022, 12:15",2.764261961
"12/08/2022, 12:30",1.496345029
"12/08/2022, 12:45",8.435518265
"12/08/2022, 13:00",1.549113989
"12/08/2022, 13:15",2.515064955
"12/08/2022, 13:30",1.054841995
"12/08/2022, 13:45",4.42590189
"12/08/2022, 14:00",3.289061069
"12/08/2022, 14:15",0.146795005
"12/08/2022, 14:30",7.965600967
"12/08/2022, 14:45",1.540529013
"12/08/2022, 15:00",2.70392108
"12/08/2022, 15:15",7.771502018
"12/08/2022, 15:30",3.22554195
"12/08/2022, 15:45",4.777943134
"12/08/2022, 16:00",2.110805988
"12/08/2022, 16:15",2.825917006
"12/08/2022, 16:30",2.474812985
"12/08/2022, 16:45",6.854707121
"12/08/2022, 17:00",6.251941085
"12/08/2022, 17:15",0.696033955
"12/08/2022, 17:30",0.340570092
"12/08/2022, 17:45",3.544242144
"12/08/2022, 18:00",2.552766025
"12/08/2022, 18:15",2.552766025
"12/08/2022, 18:30",3.223461986
"12/08/2022, 18:45",5.58260417
"12/08/2022, 19:00",8.948011875
"12/08/2022, 19:15",8.948011875
"12/08/2022, 19:30",4.00326395
"12/08/2022, 19:45",5.618808984
"12/08/2022, 20:00",2.689592063
"12/08/2022, 20:15",-0.580727041
"12/08/2022, 20:30",5.326743126
"12/08/2022, 20:45",4.202638924
"12/08/2022, 21:00",-0.375942051
"12/08/2022, 21:15",4.964027166
"12/08/2022, 21:30",8.79273808
"12/08/2022, 21:45",6.152063906
"12/08/2022, 22:00",-0.233715057
"12/08/2022, 22:15",7.727411866
"12/08/2022, 22:30",2.865741968
"12/08/2022, 22:45",1.905486047
"12/08/2022, 23:00",-1.311632037
"12/08/2022, 23:15",3.34148705
"12/08/2022, 23:30",2.862109125
"12/08/2022, 23:45",2.360740959
"13/08/2022, 00:00",1.528086007
"13/08/2022, 00:15",0.934867009
"13/08/2022, 00:30",1.057356983
"13/08/2022, 00:45",0.90837498
"13/08/2022, 01:00",0.790918004
"13/08/2022, 01:15",1.242429018
"13/08/2022, 01:30",0.941852004
"13/08/2022, 01:45",1.18561697
"13/08/2022, 02:00",1.050224962
"13/08/2022, 02:15",1.28402698
"13/08/2022, 02:30",0.969001979
"13/08/2022, 02:45",1.402182013
"13/08/2022, 03:00",1.21553798
"13/08/2022, 03:15",1.098511034
"13/08/2022, 03:30",1.332239062
"13/08/2022, 03:45",1.308043018
"13/08/2022, 04:00",1.160276026
"13/08/2022, 04:15",0.816835016
"13/08/2022, 04:30",0.836319998
"13/08/2022, 04:45",1.291867018
"13/08/2022, 05:00",1.287015021
"13/08/2022, 05:15",2.089638948
"13/08/2022, 05:30",6.992993891
"13/08/2022, 05:45",2.988781988
"13/08/2022, 06:00",0.374336995
"13/08/2022, 06:15",0.636002987
"13/08/2022, 06:30",1.728788018
"13/08/2022, 06:45",2.29280597
"13/08/2022, 07:00",-0.421251953
