Time,actual,predicted,error,0-11,Nov-21,21-31,31-41,41-51,51 and more
"01/09/2022, 11:15",6.339006901,7.092932677,11.89343675,0,1,0,0,0,0
"01/09/2022, 11:30",4.610628128,4.358272767,5.473340155,1,0,0,0,0,0
"01/09/2022, 11:45",5.436481953,4.569107509,15.95470106,0,1,0,0,0,0
"01/09/2022, 12:00",1.613708973,4.964704138,207.6579619,0,0,0,0,0,1
"01/09/2022, 12:15",6.984927177,5.374087024,23.06165995,0,0,1,0,0,0
"01/09/2022, 12:30",4.290466785,4.648511922,8.345132482,1,0,0,0,0,0
"01/09/2022, 12:45",4.170907974,5.460446453,30.9174522,0,0,1,0,0,0
"01/09/2022, 13:00",3.025064945,4.09036777,35.21586625,0,0,0,1,0,0
"01/09/2022, 13:15",5.00027895,4.432199931,11.36094655,0,1,0,0,0,0
"01/09/2022, 13:30",5.673093796,4.628937379,18.40541431,0,1,0,0,0,0
"01/09/2022, 13:45",5.673093796,3.989037409,29.68497344,0,0,1,0,0,0
"01/09/2022, 14:00",5.898217201,2.317065156,60.71583876,0,0,0,0,0,1
"01/09/2022, 14:15",7.661444187,5.712964392,25.43227814,0,0,1,0,0,0
"01/09/2022, 14:30",6.789064884,4.564084947,32.77299562,0,0,0,1,0,0
"01/09/2022, 14:45",5.494026184,6.083159816,10.72316754,1,0,0,0,0,0
"01/09/2022, 15:00",1.189458966,5.411819214,354.9815814,0,0,0,0,0,1
"01/09/2022, 15:15",8.472720146,6.023382902,28.9085111,0,0,1,0,0,0
"01/09/2022, 15:30",1.897447944,4.149788606,118.7036867,0,0,0,0,0,1
"01/09/2022, 15:45",6.554060936,5.04926809,22.95970178,0,0,1,0,0,0
"01/09/2022, 16:00",4.539864063,4.612306565,1.595697598,1,0,0,0,0,0
"01/09/2022, 16:15",4.736713886,3.69200272,22.05561052,0,0,1,0,0,0
"01/09/2022, 16:30",2.86599803,3.792790407,32.33750921,0,0,0,1,0,0
"01/09/2022, 16:45",6.139596939,5.708326447,7.0244105,1,0,0,0,0,0
"01/09/2022, 17:00",2.765861988,4.705312002,70.12099744,0,0,0,0,0,1
"01/09/2022, 17:15",2.765861988,5.242976058,89.56029189,0,0,0,0,0,1
"01/09/2022, 17:30",4.087790966,6.195958924,51.57230337,0,0,0,0,0,1
"01/09/2022, 17:45",6.127484798,6.370628047,3.968075921,1,0,0,0,0,0
"01/09/2022, 18:00",5.126152992,4.660636699,9.081201703,1,0,0,0,0,0
"01/09/2022, 18:15",5.126152992,6.029092979,17.61437844,0,1,0,0,0,0
"01/09/2022, 18:30",2.516767979,4.626590419,83.83062949,0,0,0,0,0,1
