Time,actual,predicted,error,more than 100
2023-03-04 11:30:00,,,43.79679782503271,0
2023-03-04 11:45:00,,,61.190627291232836,1
2023-03-04 12:00:00,,,41.41678161816408,0
2023-03-04 12:15:00,,,46.434707718699826,0
2023-03-04 12:30:00,,,1.812762135927769,0
2023-03-04 12:45:00,,,16.220409039524718,0
2023-03-04 13:00:00,,,39.079497864487564,0
2023-03-04 13:15:00,,,-2572.333449879631,0
2023-03-04 13:30:00,,,22.936713829989888,0
2023-03-04 13:45:00,,,20.91473405078387,0
2023-03-04 14:00:00,,,26.990767133274534,0
2023-03-04 14:15:00,,,611.1556831415968,1
2023-03-04 14:30:00,,,15.218556573051604,0
2023-03-04 14:45:00,,,87.8938145500394,1
2023-03-04 15:00:00,,,54.59583127643195,1
2023-03-04 15:15:00,,,291.9496844616836,1
2023-03-04 15:30:00,,,107.12498650363109,1
2023-03-04 15:45:00,,,7.669204633490928,0
2023-03-04 16:00:00,,,46.1261389736673,0
2023-03-04 16:15:00,,,9.999273527478847,0
2023-03-04 16:30:00,,,6.100815162885556,0
2023-03-04 16:45:00,,,128.7535675365468,1
2023-03-04 17:00:00,,,36.66943593739037,0
2023-03-04 17:15:00,,,13.586704517544716,0
2023-03-04 17:30:00,,,15.362434656511367,0
2023-03-04 17:45:00,,,3593.8645383604253,1
2023-03-04 18:00:00,,,18.577653055904104,0
2023-03-04 18:15:00,,,43.23637098239835,0
2023-03-04 18:30:00,,,34.512261750748266,0
2023-03-04 18:45:00,,,91.21523216045756,1
2023-03-04 19:00:00,,,12.301033973024323,0
2023-03-04 19:15:00,,,115.4226608322957,1
2023-03-04 19:30:00,,,41.49861125236456,0
2023-03-04 19:45:00,,,13.230277092474907,0
2023-03-04 20:00:00,,,43.80321595209037,0
2023-03-04 20:15:00,,,3365.6553455664252,1
2023-03-04 20:30:00,,,29.03948842214139,0
2023-03-04 20:45:00,,,391.97865002670756,1
2023-03-04 21:00:00,,,96.96258629062245,1
2023-03-04 21:15:00,,,55.15949996122853,1
2023-03-04 21:30:00,,,10.861150925180349,0
2023-03-04 21:45:00,,,123.28466107884259,1
2023-03-04 22:00:00,,,362.9334268313326,1
2023-03-04 22:15:00,,,36.51923110474712,0
2023-03-04 22:30:00,,,23.37733743191518,0
2023-03-04 22:45:00,,,26.68998158406928,0
2023-03-04 23:00:00,,,166.57413409947418,1
2023-03-04 23:15:00,,,2.4863345246255535,0
2023-03-04 23:30:00,,,47.033004820520304,0
2023-03-04 23:45:00,,,8.691707156748711,0
2023-03-05 00:00:00,,,58.77275402589688,1
2023-03-05 00:15:00,,,40.57265007142503,0
2023-03-05 00:30:00,,,109.54755933377969,1
2023-03-05 00:45:00,,,38.42450249121366,0
2023-03-05 01:00:00,,,59.288891347659685,1
2023-03-05 01:15:00,,,21.855322224954264,0
2023-03-05 01:30:00,,,51.31225146172048,1
2023-03-05 01:45:00,,,8.379193522917275,0
2023-03-05 02:00:00,,,34.94642539427512,0
2023-03-05 02:15:00,,,4.794998192556933,0
2023-03-05 02:30:00,,,22.847492224995218,0
2023-03-05 02:45:00,,,0.46056174923807996,0
2023-03-05 03:00:00,,,23.710013928614643,0
2023-03-05 03:15:00,,,0.3307987229106171,0
2023-03-05 03:30:00,,,24.262561437184278,0
2023-03-05 03:45:00,,,3.4661527074616347,0
2023-03-05 04:00:00,,,4.561508771661791,0
2023-03-05 04:15:00,,,9.11547965354756,0
2023-03-05 04:30:00,,,16.38783931678813,0
2023-03-05 04:45:00,,,14.615356376465677,0
2023-03-05 05:00:00,,,15.957362300961181,0
2023-03-05 05:15:00,,,431.41521283088275,1
2023-03-05 05:30:00,,,7.40420480731821,0
2023-03-05 05:45:00,,,-297.35485954854715,0
2023-03-05 06:00:00,,,42.68560347671929,0
2023-03-05 06:15:00,,,-748.7761461567128,0
2023-03-05 06:30:00,,,81.44002601754732,1
2023-03-05 06:45:00,,,799.3811211776341,1
2023-03-05 07:00:00,,,31.6073325361964,0
2023-03-05 07:15:00,,,21.877255749208402,0
2023-03-05 07:30:00,,,31.1741841969547,0
2023-03-05 07:45:00,,,33.804675582972834,0
2023-03-05 08:00:00,,,-670.6812821457422,0
2023-03-05 08:15:00,,,21.512270065770103,0
2023-03-05 08:30:00,,,71.97193246020117,1
2023-03-05 08:45:00,,,35.00950988568937,0
2023-03-05 09:00:00,,,1224.5997479552527,1
2023-03-05 09:15:00,,,15.340363369323448,0
2023-03-05 09:30:00,,,16.064891468476542,0
2023-03-05 09:45:00,,,162.79659794308418,1
2023-03-05 10:00:00,,,11.535653308743257,0
2023-03-05 10:15:00,,,17.736747448091762,0
2023-03-05 10:30:00,,,-203.57933696408224,0
2023-03-05 10:45:00,,,61.04099548875709,1
2023-03-05 11:00:00,,,153.71785955038573,1
2023-03-05 11:15:00,,,58.30257227417086,1
2023-03-05 11:30:00,,,-2824.6477407377897,0
2023-03-05 11:45:00,,,44.550181047371105,0
2023-03-05 12:00:00,,,54.11529162513894,1
2023-03-05 12:15:00,,,115.97058651422338,1
2023-03-05 12:30:00,,,59.52174860634767,1
2023-03-05 12:45:00,,,6.774792879660509,0
2023-03-05 13:00:00,,,46.5688268998275,0
2023-03-05 13:15:00,,,25.535032502738403,0
2023-03-05 13:30:00,,,171.79325895663413,1
2023-03-05 13:45:00,,,5.216611009318899,0
2023-03-05 14:00:00,,,12.903661718731168,0
2023-03-05 14:15:00,,,15.280686205186692,0
2023-03-05 14:30:00,,,28.510437393962256,0
2023-03-05 14:45:00,,,304.8863737764201,1
2023-03-05 15:00:00,,,45.73357144336998,0
2023-03-05 15:15:00,,,40.296576062001996,0
